side,type,leverage,entry_time,exit_time,entry_price,exit_price,size_btc,margin,liquidation_price,stop_loss,pnl,close_reason,half_closed_at_tp1,duration_hours
long,primary,3,2023-08-11 08:00:00,2023-08-15 16:00:00,29445.96,29065.61,0.407526,4000.0,19630.64,29065.61,-166.85,stop_loss,False,104.0
short,primary,10,2025-02-04 04:00:00,2025-02-28 16:00:00,98448.02,85052.89,0.157569,3102.47,108292.82,104680.93,3064.84,stop_loss,True,588.0
long,primary,3,2025-04-16 08:00:00,2025-04-30 12:00:00,84048.11,93392.3,0.091769,5141.99,56032.07,81619.02,1063.91,stop_loss,True,340.0
long,primary,3,2025-09-07 00:00:00,2025-09-09 00:00:00,110629.15,111170.21,0.075406,5561.38,73752.77,108581.7,178.31,stop_loss,True,48.0
short,primary,10,2025-09-25 00:00:00,2025-09-28 20:00:00,112546.21,110763.31,0.249943,5626.03,123800.83,115018.23,1008.29,stop_loss,True,92.0
long,primary,10,2025-10-06 00:00:00,2025-10-07 12:00:00,123839.09,121459.82,0.485052,6006.84,111455.18,121459.82,-1212.99,stop_loss,False,36.0
long,primary,3,2025-11-30 04:00:00,2025-12-01 00:00:00,90968.16,89392.83,0.181304,5497.62,60645.44,89392.83,-301.82,stop_loss,False,20.0
