total_return_pct,final_equity,max_drawdown_pct,sharpe_ratio,win_rate_pct,profit_factor,total_trades,long_trades,short_trades,long_pnl,short_pnl,liquidations,liq_loss,avg_win,avg_loss,cooldown,leverage_tier,risk_pct,trail_atr_mult,fib_tolerance,long_only,score
512241.89,51234188.97,54.85,1.925,51.76,8.835,85,77,8,53301015.42,-799956.02,1,839525.64,1345501.85,-163439.56,12,aggressive,0.05,3.0,0.005,False,144681.00196718323
509767.18,50986717.78,54.85,1.924,51.76,8.829,85,77,8,53032374.67,-784019.66,1,844154.45,1339127.82,-162762.66,12,aggressive,0.05,2.5,0.005,False,143982.2932096627
502094.24,50219423.96,54.85,1.922,51.76,8.772,85,77,8,52255312.19,-787863.07,1,834896.83,1320220.09,-161517.92,12,aggressive,0.05,3.5,0.005,False,141815.75904102094
491132.65,49123264.64,54.85,1.748,53.85,9.656,78,71,7,50651246.85,-529751.83,1,969781.08,1331229.63,-160837.49,18,aggressive,0.08,3.0,0.005,False,138720.3333135825
488872.27,48897226.9,54.85,1.747,53.85,9.64,78,71,7,50409399.34,-517667.98,1,975128.07,1325393.0,-160410.41,18,aggressive,0.08,2.5,0.005,False,138082.08321695533
481403.09,48150309.45,54.85,1.745,53.85,9.577,78,71,7,49655644.17,-521544.89,1,964434.09,1306250.27,-159122.56,18,aggressive,0.08,3.5,0.005,False,135973.0436353692
467814.51,46791450.87,54.85,1.911,51.16,6.748,86,78,8,48911569.83,-791211.27,1,848783.27,1283913.39,-199329.3,12,aggressive,0.05,2.0,0.005,False,132127.61316043756
423243.04,42334304.03,54.85,1.728,53.16,7.477,79,72,7,43810635.14,-489579.95,1,924974.47,1190696.47,-180762.07,18,aggressive,0.08,2.0,0.005,False,119542.55552689152
400651.49,40075148.85,54.85,1.889,49.35,11.406,77,77,0,40877824.29,0.0,1,697676.12,1179111.63,-100728.66,12,aggressive,0.05,3.0,0.005,True,113182.05792433911
398837.72,39893771.78,54.85,1.888,49.35,11.377,77,77,0,40693559.71,0.0,1,701522.84,1174083.33,-100554.02,12,aggressive,0.05,2.5,0.005,True,112669.97271103007
392714.04,39281404.29,54.85,1.886,49.35,11.309,77,77,0,40072082.61,0.0,1,693829.41,1156817.55,-99666.27,12,aggressive,0.05,3.5,0.005,True,110941.10350774841
382807.63,38290763.47,54.85,1.879,50.55,8.457,91,80,11,39765106.99,-532413.36,1,650643.62,967252.16,-116909.02,12,aggressive,0.05,3.0,0.008,False,108136.44635004557
380884.6,38098459.9,54.85,1.878,50.55,8.447,91,80,11,39556754.44,-520322.75,1,654231.02,962576.56,-116490.89,12,aggressive,0.05,2.5,0.008,False,107593.46535551503
384817.04,38491703.58,56.69,1.715,50.7,11.611,71,71,0,39145835.36,0.0,1,817333.43,1189859.6,-105403.15,18,aggressive,0.08,3.0,0.005,True,106425.71243711411
383045.86,38314586.33,56.3,1.714,50.7,11.565,71,71,0,38966621.22,0.0,1,821839.88,1184853.85,-105374.78,18,aggressive,0.08,2.5,0.005,True,106404.9708312611
375297.33,37539732.6,54.85,1.876,50.55,8.397,91,80,11,38992235.38,-524303.87,1,647056.23,949308.25,-115561.06,12,aggressive,0.05,3.5,0.008,False,106015.78295897903
377193.21,37729321.37,57.07,1.712,50.7,11.5,71,71,0,38374044.76,0.0,1,812826.97,1167464.85,-104419.71,18,aggressive,0.08,3.5,0.005,True,103874.62142754513
366018.71,36611871.36,54.85,1.875,48.72,8.152,78,78,0,37462492.83,0.0,1,705369.55,1123694.48,-130947.43,12,aggressive,0.05,2.0,0.005,True,103395.03058979033
343846.1,34394609.62,54.85,1.865,47.5,10.637,80,80,0,35085076.37,0.0,1,620932.16,1019101.05,-86684.84,12,aggressive,0.05,3.0,0.008,True,97144.30120328168
342223.37,34232336.6,54.85,1.864,47.5,10.603,80,80,0,34920257.8,0.0,1,624355.74,1014648.16,-86580.29,12,aggressive,0.05,2.5,0.008,True,96686.14952506837
338390.89,33849089.42,54.85,1.698,50.59,9.132,85,76,9,34891534.89,-355426.26,1,692960.58,901927.46,-101113.63,18,aggressive,0.08,3.0,0.008,False,95594.86137921606
337099.97,33719997.49,54.85,1.862,47.5,10.548,80,80,0,34400392.04,0.0,1,617508.58,1000084.91,-85781.78,12,aggressive,0.05,3.5,0.008,True,95239.67477575205
336768.35,33686834.5,54.85,1.697,50.59,9.111,85,76,9,34718375.25,-347101.34,1,696781.29,897884.88,-100899.43,18,aggressive,0.08,2.5,0.008,False,95136.6583409298
331751.77,33185177.06,54.85,1.695,50.59,9.057,85,76,9,34212767.77,-350268.75,1,689139.86,885237.98,-100065.1,18,aggressive,0.08,3.5,0.008,False,93720.07052324522
330272.37,33037237.45,54.85,1.695,48.89,8.017,90,81,9,34232756.98,-413883.65,1,736348.41,878145.78,-104772.63,18,aggressive,0.08,3.5,0.012,False,93297.21311212397
329755.83,32985583.27,54.85,1.856,50.0,6.566,92,81,11,34428331.84,-511557.69,1,620671.18,869800.44,-132479.26,12,aggressive,0.05,2.0,0.008,False,93148.96091248862
