mode,side,type,leverage,entry_time,exit_time,entry_price,exit_price,size_btc,margin,pnl,close_reason
M1,long,primary,3,2023-08-11 08:00:00,2023-08-15 16:00:00,29445.96,29065.61,0.366903,3601.27,-150.22,stop_loss
M1,short,primary,10,2025-02-04 04:00:00,2025-02-28 16:00:00,98448.02,85052.89,0.141862,2793.21,2759.33,stop_loss
M1,long,primary,3,2025-04-16 08:00:00,2025-04-30 12:00:00,84048.11,93392.3,0.082621,4629.42,957.86,stop_loss
M1,long,primary,3,2025-09-07 00:00:00,2025-09-09 00:00:00,110629.15,111170.21,0.067889,5007.01,160.54,stop_loss
M1,short,primary,10,2025-09-25 00:00:00,2025-09-28 20:00:00,112546.21,110763.31,0.225028,5065.22,907.78,stop_loss
M1,long,primary,10,2025-10-06 00:00:00,2025-10-07 12:00:00,123839.09,121459.82,0.436701,5408.07,-1092.07,stop_loss
M1,long,primary,3,2025-11-30 04:00:00,2025-12-01 00:00:00,90968.16,89392.83,0.163374,4953.93,-271.97,stop_loss
M2,long,base,5,2022-05-08 00:00:00,2022-05-12 04:00:00,34480.24,27584.19,0.029002,200.0,-200.8,liquidation
M2,long,base,10,2022-05-12 04:00:00,2022-05-12 12:00:00,28193.4,28193.4,0.069507,195.96,-1.96,master_trail
M2,long,base,5,2022-05-12 12:00:00,2022-05-13 00:00:00,29021.27,29021.27,0.033749,195.89,-0.98,master_trail
M2,long,base,5,2022-05-13 00:00:00,2022-05-15 20:00:00,30582.54,30582.54,0.032019,195.85,-0.98,master_trail
M2,long,base,5,2022-05-15 20:00:00,2022-05-31 12:00:00,31328.89,31328.89,0.03125,195.81,-0.98,master_trail
M2,long,base,5,2022-05-31 12:00:00,2022-06-13 00:00:00,32058.53,25646.82,0.030533,195.77,-196.55,liquidation
M2,long,base,10,2022-06-13 00:00:00,2022-06-13 12:00:00,25520.05,22968.04,0.075163,191.82,-193.54,liquidation
M2,long,base,15,2022-06-13 12:00:00,2022-06-14 00:00:00,23271.54,21720.1,0.121119,187.91,-190.54,liquidation
M2,long,base,25,2022-06-14 00:00:00,2022-06-14 04:00:00,22127.91,22127.91,0.207929,184.04,-4.6,master_trail
M2,long,base,5,2022-06-14 04:00:00,2022-06-18 16:00:00,22877.52,18302.02,0.040183,183.86,-184.59,liquidation
M2,long,base,10,2022-06-18 16:00:00,2022-06-18 20:00:00,18067.6,18067.6,0.099707,180.15,-1.8,master_trail
M2,long,base,5,2022-06-18 20:00:00,2022-06-19 08:00:00,18970.79,18970.79,0.047461,180.07,-0.9,master_trail
M2,long,base,5,2022-06-19 08:00:00,2022-06-19 16:00:00,19692.5,19692.5,0.045713,180.04,-0.9,master_trail
M2,long,base,5,2022-06-19 16:00:00,2022-06-19 20:00:00,20124.08,20124.08,0.044723,180.0,-0.9,master_trail
M2,long,base,5,2022-06-19 20:00:00,2022-06-21 04:00:00,20574.0,20574.0,0.043736,179.97,-0.9,master_trail
M2,long,base,5,2022-06-21 04:00:00,2022-06-26 16:00:00,21120.28,21120.28,0.042597,179.93,-0.9,master_trail
M2,long,base,5,2022-06-26 16:00:00,2022-07-07 16:00:00,21283.6,21283.6,0.042261,179.89,-0.9,master_trail
M2,long,base,5,2022-07-07 16:00:00,2022-07-18 16:00:00,21812.47,21812.47,0.041228,179.86,-0.9,master_trail
M2,long,base,5,2022-08-28 00:00:00,2022-08-30 12:00:00,19990.58,20009.52,0.044977,179.82,-0.05,master_trail
M2,long,base,5,2022-08-30 12:00:00,2022-09-01 12:00:00,19756.24,19756.24,0.045506,179.8,-0.9,master_trail
M2,long,base,5,2022-09-01 12:00:00,2022-09-02 16:00:00,19782.59,19782.59,0.045436,179.77,-0.9,master_trail
M2,long,base,5,2022-09-02 16:00:00,2022-09-09 04:00:00,19910.43,20083.29,0.045135,179.73,6.9,master_trail
M2,long,base,5,2022-11-13 00:00:00,2022-12-05 12:00:00,16914.6,17147.77,0.053165,179.85,11.48,master_trail
M2,long,base,5,2025-11-23 00:00:00,2025-11-25 12:00:00,86308.54,86621.72,0.014337,247.48,3.25,master_trail
M2,long,base,5,2025-11-25 12:00:00,2025-11-26 16:00:00,86988.94,87422.25,0.014227,247.52,4.92,master_trail
M2,long,base,5,2025-11-26 16:00:00,2025-11-28 16:00:00,89957.36,90599.53,0.013762,247.59,7.59,master_trail
M2,long,base,5,2025-11-28 16:00:00,2025-12-04 16:00:00,91157.44,91157.44,0.013588,247.72,-1.24,master_trail
M2,long,base,5,2025-12-14 00:00:00,2026-01-05 00:00:00,90258.98,91968.44,0.013402,241.94,21.68,master_trail
M2,long,base,5,2026-02-01 00:00:00,2026-02-05 20:00:00,78868.28,63094.62,0.015364,242.34,-243.31,liquidation
M2,long,base,10,2026-02-05 20:00:00,2026-02-06 00:00:00,62909.86,62909.86,0.037745,237.45,-2.37,master_trail
M2,long,base,5,2026-02-06 00:00:00,2026-02-09 08:00:00,64168.33,69223.61,0.018495,237.36,92.22,master_trail
M2,long,base,5,2026-02-09 08:00:00,2026-02-10 04:00:00,68928.72,68928.72,0.01735,239.18,-1.2,master_trail
M2,long,base,5,2026-02-10 04:00:00,2026-02-15 12:00:00,68919.66,69052.56,0.017349,239.13,1.11,master_trail
M2,long,base,5,2026-02-15 12:00:00,2026-02-20 20:00:00,69099.99,68111.12,0.017303,239.13,-18.29,end_of_backtest
