mode,side,type,leverage,entry_time,exit_time,entry_price,exit_price,size_btc,margin,pnl,close_reason
M1,long,primary,3,2023-08-11 08:00:00,2023-08-15 16:00:00,29445.96,29065.61,0.241908,2374.4,-99.04,stop_loss
M1,short,primary,10,2025-02-04 04:00:00,2025-02-28 16:00:00,98448.02,85052.89,0.093533,1841.63,1819.29,stop_loss
M1,long,primary,3,2025-04-16 08:00:00,2025-04-30 12:00:00,84048.11,93392.3,0.054474,3052.28,631.54,stop_loss
M1,long,primary,3,2025-09-07 00:00:00,2025-09-09 00:00:00,110629.15,111170.21,0.044761,3301.24,105.84,stop_loss
M1,short,primary,10,2025-09-25 00:00:00,2025-09-28 20:00:00,112546.21,110763.31,0.148366,3339.61,598.52,stop_loss
M1,long,primary,10,2025-10-06 00:00:00,2025-10-07 12:00:00,123839.09,121459.82,0.287927,3565.66,-720.03,stop_loss
M1,long,primary,3,2025-11-30 04:00:00,2025-12-01 00:00:00,90968.16,89392.83,0.107514,3260.12,-178.98,stop_loss
M2,long,base,50,2022-05-08 00:00:00,2022-05-08 16:00:00,34480.24,33790.64,0.290021,200.0,-209.8,liquidation
M2,long,base,50,2022-05-08 16:00:00,2022-05-08 20:00:00,34587.64,33963.68,0.282766,195.6,-186.04,stop_loss
M2,long,base,50,2022-05-08 20:00:00,2022-05-09 00:00:00,34038.4,33357.63,0.281576,191.69,-201.08,liquidation
M2,long,base,50,2022-05-09 00:00:00,2022-05-09 08:00:00,33563.15,32891.89,0.279286,187.47,-196.66,liquidation
M2,long,base,50,2022-05-09 08:00:00,2022-05-09 12:00:00,33122.31,32459.86,0.276783,183.35,-192.34,liquidation
M2,long,base,50,2022-06-08 16:00:00,2022-06-10 00:00:00,30140.14,29596.41,0.297483,179.32,-170.55,stop_loss
M2,long,base,50,2022-06-10 00:00:00,2022-06-10 12:00:00,30114.38,29512.09,0.291776,175.73,-184.34,liquidation
M2,long,base,50,2022-06-10 12:00:00,2022-06-10 16:00:00,29454.53,28865.44,0.291756,171.87,-180.29,liquidation
M2,long,base,50,2022-06-10 16:00:00,2022-06-11 12:00:00,28980.02,28400.42,0.290015,168.09,-176.33,liquidation
M2,long,base,50,2022-06-11 12:00:00,2022-06-12 00:00:00,28405.54,27837.43,0.289377,164.4,-172.45,liquidation
M2,long,base,50,2022-07-12 00:00:00,2022-07-12 08:00:00,19942.33,19582.57,0.403124,160.78,-152.92,stop_loss
M2,long,base,50,2022-07-12 08:00:00,2022-07-12 16:00:00,19773.9,19378.42,0.398418,157.57,-165.29,liquidation
M2,long,base,50,2022-07-12 16:00:00,2022-07-13 12:00:00,19398.74,19010.77,0.397196,154.1,-161.65,liquidation
M2,long,base,50,2022-07-13 12:00:00,2022-07-18 04:00:00,19456.2,21321.23,0.387319,150.71,714.1,trailing_stop
M2,long,pyramid,50,2022-07-17 00:00:00,2022-07-18 04:00:00,21324.18,21321.23,0.508932,217.05,-12.35,trailing_stop
M2,long,base,50,2022-08-28 00:00:00,2022-08-28 20:00:00,19990.58,19590.77,0.411149,164.38,-172.44,liquidation
M2,long,base,50,2022-08-28 20:00:00,2022-09-06 16:00:00,19555.61,19164.5,0.411056,160.77,-168.65,liquidation
M2,long,base,50,2022-09-06 16:00:00,2022-09-13 12:00:00,18824.41,21671.48,0.417637,157.24,1179.99,trailing_stop
M2,long,pyramid,50,2022-09-09 04:00:00,2022-09-13 12:00:00,20631.76,21671.48,0.548777,226.44,558.68,trailing_stop
M2,long,pyramid,50,2022-09-09 12:00:00,2022-09-13 12:00:00,21266.79,21671.48,0.96525,410.56,369.71,trailing_stop
M2,long,pyramid,50,2022-09-11 20:00:00,2022-09-13 12:00:00,21826.87,21671.48,1.683982,735.12,-298.17,trailing_stop
M2,long,pyramid,50,2022-09-13 08:00:00,2022-09-13 12:00:00,22522.74,21671.48,3.307606,1489.93,-2887.32,trailing_stop
M2,long,base,50,2022-11-13 00:00:00,2022-11-13 04:00:00,16914.6,16576.31,0.392187,132.67,-139.17,liquidation
M2,long,base,50,2022-11-13 04:00:00,2022-11-13 08:00:00,16774.99,16439.49,0.386759,129.76,-136.12,liquidation
M2,long,base,50,2022-11-13 08:00:00,2022-11-13 20:00:00,16659.23,16326.05,0.380887,126.91,-133.12,liquidation
M2,long,base,50,2022-11-13 20:00:00,2022-11-14 00:00:00,16329.85,16003.25,0.380029,124.12,-130.2,liquidation
M2,long,base,50,2022-11-14 00:00:00,2022-11-14 04:00:00,16139.79,15816.99,0.376052,121.39,-127.34,liquidation
M2,long,base,50,2025-11-23 00:00:00,2025-12-01 00:00:00,86308.54,89870.02,0.094527,163.17,328.16,trailing_stop
M2,long,base,50,2025-12-14 00:00:00,2025-12-14 16:00:00,90258.98,88630.71,0.091844,165.79,-157.69,stop_loss
M2,long,base,50,2025-12-14 16:00:00,2025-12-15 12:00:00,88644.88,86871.98,0.091644,162.47,-170.44,liquidation
M2,long,base,50,2025-12-15 12:00:00,2025-12-15 16:00:00,87033.22,85292.56,0.091289,158.9,-166.69,liquidation
M2,long,base,50,2025-12-15 16:00:00,2025-12-18 16:00:00,86149.96,84595.81,0.090198,155.41,-147.81,stop_loss
M2,long,base,50,2025-12-18 16:00:00,2025-12-22 16:00:00,84483.79,88585.4,0.090135,152.3,361.71,trailing_stop
M2,long,pyramid,50,2025-12-22 08:00:00,2025-12-22 16:00:00,89945.43,88585.4,0.082097,147.69,-118.93,trailing_stop
M2,long,base,50,2025-12-28 00:00:00,2026-01-05 12:00:00,87740.01,92418.9,0.089386,156.85,409.97,trailing_stop
M2,long,base,50,2026-02-01 00:00:00,2026-02-01 12:00:00,78868.28,77290.91,0.10454,164.9,-172.98,liquidation
M2,long,base,50,2026-02-01 12:00:00,2026-02-01 20:00:00,77593.4,76041.53,0.103922,161.27,-169.18,liquidation
M2,long,base,50,2026-02-01 20:00:00,2026-02-02 00:00:00,76968.21,75428.85,0.102463,157.73,-165.46,liquidation
M2,long,base,50,2026-02-02 00:00:00,2026-02-02 04:00:00,76292.98,74916.65,0.101098,154.26,-146.72,stop_loss
M2,long,base,50,2026-02-02 04:00:00,2026-02-03 16:00:00,76660.79,75127.57,0.098598,151.17,-158.58,liquidation
