side,type,entry_time,exit_time,entry_price,exit_price,size_btc,stop_loss,pnl,half_closed_at_tp1,duration_hours
long,primary,2023-08-11 08:00:00,2023-08-15 16:00:00,29445.96,29065.61,0.135842,29065.61,-55.62,False,104.0
short,primary,2025-02-04 04:00:00,2025-02-28 16:00:00,98448.02,85052.89,0.015948,104680.93,310.21,True,588.0
long,primary,2025-04-16 08:00:00,2025-04-30 12:00:00,84048.11,93392.3,0.024385,81619.02,282.7,True,340.0
long,primary,2025-09-07 00:00:00,2025-09-09 00:00:00,110629.15,111170.21,0.019029,108581.7,45.0,True,48.0
short,primary,2025-09-25 00:00:00,2025-09-28 20:00:00,112546.21,110763.31,0.018778,115018.23,75.75,True,92.0
long,primary,2025-10-06 00:00:00,2025-10-07 12:00:00,123839.09,121459.82,0.034362,121459.82,-85.93,False,36.0
long,primary,2025-11-30 04:00:00,2025-12-01 00:00:00,90968.16,89392.83,0.046382,89392.83,-77.21,False,20.0
