mode,side,type,leverage,entry_time,exit_time,entry_price,exit_price,size_btc,margin,pnl,close_reason
M1,long,primary,3,2023-08-11 08:00:00,2023-08-15 16:00:00,29445.96,29065.61,0.370059,3632.24,-151.51,stop_loss
M1,short,primary,10,2025-02-04 04:00:00,2025-02-28 16:00:00,98448.02,85052.89,0.143082,2817.24,2783.06,stop_loss
M1,long,primary,3,2025-04-16 08:00:00,2025-04-30 12:00:00,84048.11,93392.3,0.083332,4669.24,966.1,stop_loss
M1,long,primary,3,2025-09-07 00:00:00,2025-09-09 00:00:00,110629.15,111170.21,0.068473,5050.08,161.92,stop_loss
M1,short,primary,10,2025-09-25 00:00:00,2025-09-28 20:00:00,112546.21,110763.31,0.226964,5108.78,915.59,stop_loss
M1,long,primary,10,2025-10-06 00:00:00,2025-10-07 12:00:00,123839.09,121459.82,0.440457,5454.58,-1101.47,stop_loss
M1,long,primary,3,2025-11-30 04:00:00,2025-12-01 00:00:00,90968.16,89392.83,0.164618,4991.68,-274.04,stop_loss
M2,long,base,5,2022-05-08 00:00:00,2022-05-12 04:00:00,34480.24,27584.19,0.029002,200.0,-200.8,liquidation
M2,long,base,10,2022-05-12 04:00:00,2022-05-16 04:00:00,28193.4,29705.24,0.069507,195.96,103.02,trailing_stop
M2,long,base,5,2022-05-16 04:00:00,2022-05-30 20:00:00,29593.89,30747.91,0.03345,197.99,37.57,trailing_stop
M2,long,base,5,2022-05-30 20:00:00,2022-06-13 00:00:00,31734.22,25387.38,0.03131,198.72,-199.51,liquidation
M2,long,base,10,2022-06-13 00:00:00,2022-06-13 12:00:00,25520.05,22968.04,0.076296,194.71,-196.46,liquidation
M2,long,base,15,2022-06-13 12:00:00,2022-06-14 00:00:00,23271.54,21720.1,0.122943,190.74,-193.41,liquidation
M2,long,base,25,2022-06-14 00:00:00,2022-06-15 04:00:00,22127.91,21242.79,0.211061,186.81,-191.3,liquidation
M2,long,base,50,2022-06-15 04:00:00,2022-06-15 08:00:00,20722.92,20308.46,0.441284,182.89,-191.86,liquidation
M2,long,base,5,2022-07-16 04:00:00,2022-07-18 04:00:00,20546.18,21321.23,0.04353,178.87,32.81,trailing_stop
M2,long,base,5,2022-08-28 00:00:00,2022-09-13 12:00:00,19990.58,21671.48,0.044899,179.51,74.5,trailing_stop
M2,long,pyramid,5,2022-09-11 20:00:00,2022-09-13 12:00:00,21826.87,21671.48,0.005666,24.73,-1.0,trailing_stop
M2,long,pyramid,5,2022-09-13 08:00:00,2022-09-13 12:00:00,22522.74,21671.48,0.007834,35.29,-6.84,trailing_stop
M2,long,base,5,2022-11-13 00:00:00,2022-12-14 20:00:00,16914.6,17689.04,0.053451,180.82,40.45,trailing_stop
M2,long,base,5,2025-11-23 00:00:00,2025-12-01 00:00:00,86308.54,89870.02,0.01446,249.61,50.2,trailing_stop
M2,long,base,5,2025-12-14 00:00:00,2026-01-16 12:00:00,90258.98,94730.5,0.013561,244.81,59.36,trailing_stop
M2,long,base,5,2026-02-01 00:00:00,2026-02-05 20:00:00,78868.28,63094.62,0.015594,245.97,-246.95,liquidation
M2,long,base,10,2026-02-05 20:00:00,2026-02-10 12:00:00,62909.86,68136.0,0.03831,241.01,197.6,trailing_stop
M2,long,pyramid,10,2026-02-07 00:00:00,2026-02-10 12:00:00,70918.99,68136.0,0.012979,92.05,-37.01,trailing_stop
M2,long,base,5,2026-02-10 12:00:00,2026-02-20 20:00:00,69293.37,68111.12,0.017617,244.15,-22.03,end_of_backtest
