bullet_id,side,entry_time,exit_time,entry_price,initial_margin,n_adds,total_pnl,pnl_multiple,close_reason,trailing_activated,peak_floating_pnl,confluence,fib_level,duration_days,n_legs_total,n_legs_liquidated
13,short,2022-07-14 16:00:00,2022-07-17 04:00:00,20605.75,500.0,0,-500.0,-1.0,liquidation,False,28.91,TD9_sell|Fib_0.500,0.500,2.5,1,1
14,long,2022-08-20 00:00:00,2022-08-27 04:00:00,21140.34,500.0,0,-500.0,-1.0,liquidation,False,285.21,TD9_buy|MACD_div_1,,7.2,1,1
15,long,2022-08-27 04:00:00,2022-09-06 16:00:00,20272.25,500.0,0,-500.0,-1.0,liquidation,False,79.87,TD9_buy|MACD_div_1,,10.5,1,1
16,long,2022-09-09 00:00:00,2022-09-13 12:00:00,19950.73,500.0,3,-124.51,-0.25,trailing_stop,True,2000.45,MACD_div_2|Fib_0.618,0.618,4.5,4,0
17,long,2022-10-11 08:00:00,2022-10-13 12:00:00,19153.68,500.0,0,-500.0,-1.0,liquidation,False,0.97,TD9_buy|Fib_0.618,0.618,2.2,1,1
18,long,2022-11-02 20:00:00,2022-11-07 08:00:00,20151.84,500.0,1,55.15,0.11,trailing_stop,True,732.22,TD9_buy|Fib_0.382,0.382,4.5,2,0
19,long,2022-11-07 00:00:00,2022-11-08 04:00:00,20913.82,500.0,0,-500.0,-1.0,liquidation,False,0.0,TD9_buy|Fib_0.500,0.500,1.2,1,1
20,long,2022-11-21 16:00:00,2022-11-28 00:00:00,15722.98,500.0,1,110.56,0.22,trailing_stop,True,678.95,TD9_buy|volume_spike,,6.3,2,0
21,long,2022-12-28 16:00:00,2023-01-30 08:00:00,16595.92,500.0,4,8668.87,17.34,trailing_stop,True,10124.81,TD9_buy|MACD_div_1|Fib_0.618,0.618,32.7,5,0
22,long,2023-02-09 20:00:00,2023-02-16 20:00:00,21796.35,500.0,2,633.2,1.27,trailing_stop,True,2339.13,TD9_buy|MACD_div_2,,7.0,3,0
23,long,2023-02-22 16:00:00,2023-03-03 00:00:00,23791.67,500.0,0,-500.0,-1.0,liquidation,False,278.74,TD9_buy|Fib_0.382,0.382,8.3,1,1
24,long,2023-03-08 12:00:00,2023-03-09 16:00:00,22140.8,500.0,0,-500.0,-1.0,liquidation,False,0.0,TD9_buy|MACD_div_2,,1.2,1,1
25,long,2023-05-22 04:00:00,2023-06-05 16:00:00,26843.13,500.0,1,-864.15,-1.73,liquidation,False,455.19,MACD_div_2|Fib_0.618,0.618,14.5,2,2
26,long,2023-05-26 12:00:00,2023-06-05 16:00:00,26750.21,500.0,1,-893.21,-1.79,liquidation,False,491.51,MACD_div_2|Fib_0.500,0.500,10.2,2,2
