side,type,leverage,entry_time,exit_time,entry_price,exit_price,size_btc,margin,liquidation_price,stop_loss,pnl,close_reason,half_closed_at_tp1,duration_hours
long,primary,3,2023-08-11 08:00:00,2023-08-15 16:00:00,29445.96,29065.61,0.407526,4000.0,19630.64,29065.61,-166.85,stop_loss,False,104.0
short,primary,5,2025-02-04 04:00:00,2025-02-28 16:00:00,98448.02,85052.89,0.078785,3102.47,118137.62,104680.93,1532.42,stop_loss,True,588.0
long,primary,3,2025-04-16 08:00:00,2025-04-30 12:00:00,84048.11,93392.3,0.08094,4535.22,56032.07,81619.02,938.37,stop_loss,True,340.0
long,primary,3,2025-09-07 00:00:00,2025-09-09 00:00:00,110629.15,111170.21,0.066508,4905.13,73752.77,108581.7,157.27,stop_loss,True,48.0
short,primary,5,2025-09-25 00:00:00,2025-09-28 20:00:00,112546.21,110763.31,0.110225,4962.15,135055.45,115018.23,444.66,stop_loss,True,92.0
long,primary,5,2025-10-06 00:00:00,2025-10-07 12:00:00,123839.09,121459.82,0.207127,5130.09,99071.27,121459.82,-517.97,stop_loss,False,36.0
long,primary,3,2025-11-30 04:00:00,2025-12-01 00:00:00,90968.16,89392.83,0.162012,4912.64,60645.44,89392.83,-269.71,stop_loss,False,20.0
